"region";"nivå";"kjønn";"år";"statistikkvariabel";"09429: Personer 16 år og over, etter region, nivå, kjønn, år og statistikkvariabel"
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2020";"Personer 16 år og over";308
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2021";"Personer 16 år og over";301
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2022";"Personer 16 år og over";309
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2023";"Personer 16 år og over";303
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2020";"Personer 16 år og over";159
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2021";"Personer 16 år og over";153
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2022";"Personer 16 år og over";160
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2023";"Personer 16 år og over";160
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2020";"Personer 16 år og over";149
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2021";"Personer 16 år og over";148
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2022";"Personer 16 år og over";149
"3002 Moss (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2023";"Personer 16 år og over";143
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2020";"Personer 16 år og over";46881
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2021";"Personer 16 år og over";47522
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2022";"Personer 16 år og over";48364
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2023";"Personer 16 år og over";49056
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2020";"Personer 16 år og over";23589
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2021";"Personer 16 år og over";23907
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2022";"Personer 16 år og over";24340
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2023";"Personer 16 år og over";24634
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2020";"Personer 16 år og over";23292
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2021";"Personer 16 år og over";23615
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2022";"Personer 16 år og over";24024
"3003 Sarpsborg (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2023";"Personer 16 år og over";24422
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";14688
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";14509
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";14584
"3003 Sarpsborg (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";14724
