Dato;Nedbør m.m.pr døgn
13.10.2017;0,1
14.10.2017;6,7
15.10.2017;0
16.10.2017;0,7
17.10.2017;5,5
18.10.2017;2,7
19.10.2017;0
20.10.2017;0,8
21.10.2017;2,7
22.10.2017;7,2
23.10.2017;7,8
24.10.2017;0,4
25.10.2017;32,6
26.10.2017;0,1
27.10.2017;0,3
28.10.2017;0
29.10.2017;0
30.10.2017;0
31.10.2017;0
01.11.2017;0
02.11.2017;0,5
03.11.2017;0
04.11.2017;0
05.11.2017;12,4
06.11.2017;8
07.11.2017;0,1
08.11.2017;0,9
09.11.2017;0,3
10.11.2017;0,7
11.11.2017;8,7
12.11.2017;0
13.11.2017;0,2
14.11.2017;0
15.11.2017;1
16.11.2017;3,3
17.11.2017;3,1
18.11.2017;0
19.11.2017;0,4
20.11.2017;0
21.11.2017;0
22.11.2017;0
23.11.2017;17
24.11.2017;5
25.11.2017;0
26.11.2017;0,9
27.11.2017;0,9
28.11.2017;0
29.11.2017;0
30.11.2017;0
01.12.2017;0
02.12.2017;0
03.12.2017;0
04.12.2017;0,2
05.12.2017;0
06.12.2017;0
07.12.2017;4,2
08.12.2017;0,6
09.12.2017;0
10.12.2017;0
11.12.2017;0
12.12.2017;0
13.12.2017;0
14.12.2017;0
15.12.2017;0
16.12.2017;0
17.12.2017;0
18.12.2017;0
19.12.2017;0
20.12.2017;0
21.12.2017;0,4
22.12.2017;0
23.12.2017;0
24.12.2017;1,9
25.12.2017;0,2
26.12.2017;0,3
27.12.2017;34,7
28.12.2017;7,1
29.12.2017;6,1
30.12.2017;0,9
31.12.2017;0
01.01.2018;2,8
02.01.2018;6,5
03.01.2018;0
04.01.2018;1,6
05.01.2018;0
06.01.2018;0
07.01.2018;0
08.01.2018;0
09.01.2018;0
10.01.2018;0
11.01.2018;0
12.01.2018;0
13.01.2018;0
14.01.2018;0
15.01.2018;0
16.01.2018;0
17.01.2018;0
18.01.2018;0,1
19.01.2018;0
20.01.2018;0
21.01.2018;0
22.01.2018;0,1
23.01.2018;0
24.01.2018;0,2
25.01.2018;27,5
26.01.2018;0
27.01.2018;0
28.01.2018;8,1
29.01.2018;0
30.01.2018;2,2
31.01.2018;0,1
01.02.2018;10,4
02.02.2018;2
03.02.2018;0
04.02.2018;0
05.02.2018;0
06.02.2018;0
07.02.2018;0
08.02.2018;0
09.02.2018;3,8
10.02.2018;0
11.02.2018;0,7
12.02.2018;0,8
13.02.2018;0,8
14.02.2018;0
15.02.2018;0
16.02.2018;1,8
17.02.2018;1
18.02.2018;0,7
19.02.2018;3
20.02.2018;0
21.02.2018;0
22.02.2018;0
23.02.2018;0
24.02.2018;0
25.02.2018;0,6
26.02.2018;0,5
27.02.2018;0
28.02.2018;0
01.03.2018;0
02.03.2018;0
03.03.2018;0
04.03.2018;0
05.03.2018;0
06.03.2018;0
07.03.2018;0
08.03.2018;0
09.03.2018;0
10.03.2018;0
11.03.2018;0
12.03.2018;6,3
13.03.2018;2,5
14.03.2018;0
15.03.2018;0
16.03.2018;0
17.03.2018;0
18.03.2018;0
19.03.2018;0
20.03.2018;0
21.03.2018;0
22.03.2018;0,1
23.03.2018;0
24.03.2018;0,3
25.03.2018;0
26.03.2018;0
27.03.2018;0
28.03.2018;0
29.03.2018;0
30.03.2018;0
31.03.2018;0
01.04.2018;0
02.04.2018;0
03.04.2018;0
04.04.2018;5,2
05.04.2018;1,3
06.04.2018;0,1
07.04.2018;0
08.04.2018;0
09.04.2018;0,7
10.04.2018;0
11.04.2018;0
12.04.2018;0
13.04.2018;0
14.04.2018;0
15.04.2018;0
16.04.2018;0
17.04.2018;0,2
18.04.2018;0,2
19.04.2018;0,2
20.04.2018;0,1
21.04.2018;0,1
22.04.2018;0
23.04.2018;0
24.04.2018;2,7
25.04.2018;0
26.04.2018;0
27.04.2018;0
28.04.2018;0
29.04.2018;0
30.04.2018;0
01.05.2018;1,2
02.05.2018;0,2
03.05.2018;0
04.05.2018;0
05.05.2018;0
06.05.2018;0
07.05.2018;0
08.05.2018;0
09.05.2018;0
10.05.2018;0
11.05.2018;6,1
12.05.2018;0,1
13.05.2018;0
14.05.2018;0
15.05.2018;0
16.05.2018;0
17.05.2018;0
18.05.2018;0,1
19.05.2018;0
20.05.2018;0
21.05.2018;0
22.05.2018;0
23.05.2018;0
24.05.2018;0
25.05.2018;0
26.05.2018;0
27.05.2018;0
28.05.2018;0
29.05.2018;0,5
30.05.2018;0
31.05.2018;0
01.06.2018;0
02.06.2018;0
03.06.2018;0
04.06.2018;0
05.06.2018;0
06.06.2018;0
07.06.2018;0
08.06.2018;0
09.06.2018;0
10.06.2018;0
11.06.2018;5,3
12.06.2018;0
13.06.2018;0
14.06.2018;0
15.06.2018;3,1
16.06.2018;0
17.06.2018;5,9
18.06.2018;15,8
19.06.2018;0
20.06.2018;0
21.06.2018;0
22.06.2018;0,1
23.06.2018;0
24.06.2018;0
25.06.2018;0
26.06.2018;0
27.06.2018;0
28.06.2018;0
29.06.2018;0
30.06.2018;0
01.07.2018;0
02.07.2018;0
03.07.2018;0
04.07.2018;0
05.07.2018;0
06.07.2018;0
07.07.2018;0,1
08.07.2018;0
09.07.2018;0
10.07.2018;0,1
11.07.2018;0
12.07.2018;0,2
13.07.2018;0,7
14.07.2018;0
15.07.2018;0
16.07.2018;0
17.07.2018;3,6
18.07.2018;0
19.07.2018;0
20.07.2018;0
21.07.2018;0
22.07.2018;0
23.07.2018;0
24.07.2018;0
25.07.2018;0
26.07.2018;0
27.07.2018;0
28.07.2018;0
29.07.2018;8,1
30.07.2018;0
31.07.2018;0,9
01.08.2018;7,5
02.08.2018;0
03.08.2018;0
04.08.2018;0
05.08.2018;0
06.08.2018;0
07.08.2018;0
08.08.2018;0,2
09.08.2018;5,4
10.08.2018;9,8
11.08.2018;3,5
12.08.2018;0
13.08.2018;1,8
14.08.2018;0
15.08.2018;0
16.08.2018;0
17.08.2018;0
18.08.2018;0,6
19.08.2018;0
20.08.2018;0
21.08.2018;0
22.08.2018;0
23.08.2018;0
24.08.2018;0,1
25.08.2018;1,8
26.08.2018;2,2
27.08.2018;0,4
28.08.2018;1,9
29.08.2018;0
30.08.2018;2,6
31.08.2018;0
01.09.2018;0
02.09.2018;0
03.09.2018;0
04.09.2018;0
05.09.2018;0,2
06.09.2018;0
07.09.2018;0
08.09.2018;9,3
09.09.2018;12,1
10.09.2018;32,2
11.09.2018;0
12.09.2018;0,1
13.09.2018;0
14.09.2018;0
15.09.2018;0
16.09.2018;0
17.09.2018;2,9
18.09.2018;0,1
19.09.2018;0
20.09.2018;0
21.09.2018;0,9
22.09.2018;16,6
23.09.2018;0,1
24.09.2018;0
25.09.2018;0,1
26.09.2018;0
27.09.2018;0
28.09.2018;4
29.09.2018;0
30.09.2018;0
01.10.2018;0
02.10.2018;0
03.10.2018;4
04.10.2018;0
05.10.2018;0
06.10.2018;0
07.10.2018;0
08.10.2018;0,6
09.10.2018;0
10.10.2018;0
11.10.2018;0
12.10.2018;0
13.10.2018;0
14.10.2018;0
15.10.2018;0
16.10.2018;1,2
17.10.2018;0
18.10.2018;0
19.10.2018;0
20.10.2018;0
21.10.2018;0
22.10.2018;1,6
23.10.2018;0
24.10.2018;0
25.10.2018;0
26.10.2018;0
27.10.2018;0
28.10.2018;0
29.10.2018;0
30.10.2018;0,2
31.10.2018;17,7
01.11.2018;3,7
02.11.2018;0
03.11.2018;4,9
04.11.2018;0,4
05.11.2018;0,1
06.11.2018;0
07.11.2018;0
08.11.2018;0
09.11.2018;0,3
10.11.2018;8,5
11.11.2018;22
12.11.2018;30,6
13.11.2018;4,3
14.11.2018;6
15.11.2018;0,3
16.11.2018;0
17.11.2018;0
18.11.2018;0
19.11.2018;0
20.11.2018;0
21.11.2018;0,1
22.11.2018;0
23.11.2018;0
24.11.2018;0
25.11.2018;0
26.11.2018;0
27.11.2018;0
28.11.2018;0
29.11.2018;0
30.11.2018;8,7
